,Date,Product,Price,Quantities
390,2051-01-26,Tablet,85.37,4
391,2051-01-27,Phone,191.12,3
392,2051-01-28,Camera,152.63,2
393,2051-01-29,Camera,59.74,1
394,2051-01-30,Camera,180.56,11
395,2051-01-31,Tablet,155.21,13
396,2051-02-01,Tablet,140.74,11
397,2051-02-02,Tablet,159.86,3
398,2051-02-03,Phone,88.02,12
399,2051-02-04,Camera,140.07,13
400,2051-02-05,Phone,172.19,13
401,2051-02-06,Phone,58.12,4
402,2051-02-07,Tablet,69.58,11
403,2051-02-08,Camera,176.37,7
404,2051-02-09,Tablet,142.75,10
405,2051-02-10,Camera,129.69,5
406,2051-02-11,Phone,87.24,13
407,2051-02-12,Phone,94.26,8
408,2051-02-13,Tablet,180.9,10
409,2051-02-14,Phone,113.25,10
410,2051-02-15,Phone,59.66,8
411,2051-02-16,Phone,184.55,1
412,2051-02-17,Phone,80.51,11
413,2051-02-18,Tablet,173.93,11
414,2051-02-19,Camera,182.27,4
415,2051-02-20,Phone,123.01,14
416,2051-02-21,Tablet,139.77,3
417,2051-02-22,Tablet,129.09,14
418,2051-02-23,Camera,143.72,10
419,2051-02-24,Camera,178.26,7
420,2051-02-25,Camera,92.32,12
421,2051-02-26,Tablet,182.56,4
422,2051-02-27,Phone,135.15,6
423,2051-02-28,Phone,67.27,3
424,2051-03-01,Phone,84.05,6
425,2051-03-02,Tablet,139.4,13
426,2051-03-03,Phone,85.92,7
427,2051-03-04,Tablet,69.71,8
428,2051-03-05,Tablet,74.28,10
429,2051-03-06,Phone,176.73,8
430,2051-03-07,Camera,140.33,2
431,2051-03-08,Phone,194.54,2
432,2051-03-09,Phone,101.85,7
433,2051-03-10,Tablet,139.34,13
434,2051-03-11,Phone,139.85,8
435,2051-03-12,Camera,142.36,4
436,2051-03-13,Phone,58.88,2
437,2051-03-14,Tablet,162.55,11
438,2051-03-15,Phone,192.23,2
439,2051-03-16,Tablet,130.2,8
440,2051-03-17,Camera,78.88,3
441,2051-03-18,Tablet,162.94,6
442,2051-03-19,Phone,51.1,6
443,2051-03-20,Phone,99.24,5
444,2051-03-21,Phone,187.64,4
445,2051-03-22,Camera,138.26,7
446,2051-03-23,Phone,178.28,2
447,2051-03-24,Phone,140.7,2
448,2051-03-25,Camera,173.39,11
449,2051-03-26,Tablet,181.92,13
450,2051-03-27,Camera,98.15,12
451,2051-03-28,Camera,68.44,6
452,2051-03-29,Phone,158.2,9
453,2051-03-30,Phone,116.05,7
454,2051-03-31,Tablet,69.01,14
455,2051-04-01,Phone,138.47,2
456,2051-04-02,Tablet,55.41,9
457,2051-04-03,Tablet,80.03,8
458,2051-04-04,Tablet,168.25,1
459,2051-04-05,Phone,51.81,8
460,2051-04-06,Phone,95.5,8
461,2051-04-07,Tablet,53.21,14
462,2051-04-08,Tablet,199.62,4
463,2051-04-09,Tablet,137.3,11
464,2051-04-10,Camera,94.01,14
465,2051-04-11,Phone,189.34,9
466,2051-04-12,Camera,126.07,10
467,2051-04-13,Phone,118.2,11
468,2051-04-14,Tablet,138.18,12
469,2051-04-15,Camera,89.62,9
470,2051-04-16,Camera,95.79,11
471,2051-04-17,Camera,105.75,14
472,2051-04-18,Camera,86.67,6
473,2051-04-19,Camera,137.68,2
474,2051-04-20,Phone,154.38,14
475,2051-04-21,Phone,60.79,8
476,2051-04-22,Tablet,195.66,11
477,2051-04-23,Camera,162.96,4
478,2051-04-24,Tablet,170.92,7
479,2051-04-25,Phone,162.75,14
480,2051-04-26,Phone,62.01,11
481,2051-04-27,Camera,122.25,14
482,2051-04-28,Camera,116.85,10
483,2051-04-29,Phone,150.87,5
484,2051-04-30,Tablet,117.31,13
485,2051-05-01,Tablet,155.65,12
486,2051-05-02,Camera,152.25,9
487,2051-05-03,Tablet,154.57,8
488,2051-05-04,Camera,142.79,2
489,2051-05-05,Camera,72.65,1
490,2051-05-06,Tablet,164.12,8
491,2051-05-07,Tablet,167.16,2
492,2051-05-08,Tablet,185.62,2
493,2051-05-09,Phone,85.07,1
494,2051-05-10,Phone,76.5,14
495,2051-05-11,Tablet,108.66,7
496,2051-05-12,Phone,98.08,11
497,2051-05-13,Tablet,172.32,1
498,2051-05-14,Phone,142.03,8
499,2051-05-15,Tablet,164.0,10
500,2051-05-16,Tablet,114.15,8
501,2051-05-17,Tablet,64.92,1
502,2051-05-18,Camera,67.26,6
503,2051-05-19,Tablet,106.01,3
504,2051-05-20,Phone,79.08,9
505,2051-05-21,Phone,173.11,11
506,2051-05-22,Tablet,139.95,14
507,2051-05-23,Phone,153.33,3
508,2051-05-24,Phone,123.67,1
509,2051-05-25,Camera,63.23,14
510,2051-05-26,Tablet,85.26,3
511,2051-05-27,Tablet,119.24,8
512,2051-05-28,Tablet,79.79,7
513,2051-05-29,Tablet,53.82,1
514,2051-05-30,Tablet,159.41,2
515,2051-05-31,Tablet,158.74,6
516,2051-06-01,Phone,99.56,8
517,2051-06-02,Camera,176.52,1
518,2051-06-03,Camera,114.27,11
519,2051-06-04,Camera,179.7,9
520,2051-06-05,Tablet,148.56,6
521,2051-06-06,Tablet,137.16,8
522,2051-06-07,Phone,80.11,9
523,2051-06-08,Phone,129.43,9
524,2051-06-09,Phone,184.16,13
525,2051-06-10,Phone,95.75,9
526,2051-06-11,Phone,180.64,5
527,2051-06-12,Phone,186.31,14
528,2051-06-13,Phone,99.48,4
529,2051-06-14,Phone,152.46,4
530,2051-06-15,Tablet,184.88,1
531,2051-06-16,Phone,61.35,1
532,2051-06-17,Camera,181.79,4
533,2051-06-18,Phone,78.63,8
534,2051-06-19,Camera,177.47,5
535,2051-06-20,Phone,150.07,10
536,2051-06-21,Phone,101.65,9
537,2051-06-22,Camera,72.71,4
538,2051-06-23,Tablet,145.31,6
539,2051-06-24,Tablet,177.17,12
540,2051-06-25,Camera,173.28,4
541,2051-06-26,Camera,144.24,12
542,2051-06-27,Phone,193.45,2
543,2051-06-28,Camera,138.49,14
544,2051-06-29,Camera,79.67,9
545,2051-06-30,Phone,114.4,13
546,2051-07-01,Camera,100.51,12
547,2051-07-02,Camera,198.79,13
548,2051-07-03,Phone,107.04,8
549,2051-07-04,Phone,198.91,1
550,2051-07-05,Camera,127.82,7
551,2051-07-06,Phone,75.84,1
552,2051-07-07,Camera,61.19,1
553,2051-07-08,Tablet,105.55,8
554,2051-07-09,Tablet,68.51,11
555,2051-07-10,Camera,145.18,2
556,2051-07-11,Tablet,112.09,12
557,2051-07-12,Camera,198.64,11
558,2051-07-13,Camera,189.49,9
559,2051-07-14,Phone,72.39,8
560,2051-07-15,Phone,109.23,6
561,2051-07-16,Phone,119.24,9
562,2051-07-17,Tablet,134.14,4
563,2051-07-18,Tablet,167.05,2
564,2051-07-19,Phone,123.08,8
565,2051-07-20,Tablet,113.0,12
566,2051-07-21,Phone,89.3,7
567,2051-07-22,Camera,186.62,11
568,2051-07-23,Phone,53.34,8
569,2051-07-24,Tablet,173.17,10
570,2051-07-25,Camera,78.27,11
571,2051-07-26,Tablet,152.86,1
572,2051-07-27,Tablet,103.28,13
573,2051-07-28,Phone,196.13,1
574,2051-07-29,Camera,68.42,12
575,2051-07-30,Phone,78.14,11
576,2051-07-31,Tablet,183.42,8
577,2051-08-01,Phone,137.51,13
578,2051-08-02,Tablet,96.39,6
579,2051-08-03,Camera,50.11,6
580,2051-08-04,Tablet,84.14,1
581,2051-08-05,Tablet,71.81,2
582,2051-08-06,Tablet,80.52,7
583,2051-08-07,Tablet,184.45,4
584,2051-08-08,Phone,180.96,1
585,2051-08-09,Phone,155.04,7
586,2051-08-10,Tablet,120.57,13
587,2051-08-11,Phone,174.07,11
588,2051-08-12,Phone,124.37,12
589,2051-08-13,Camera,104.52,14
590,2051-08-14,Camera,91.34,3
591,2051-08-15,Phone,188.71,4
592,2051-08-16,Tablet,108.05,7
593,2051-08-17,Tablet,123.93,4
594,2051-08-18,Camera,88.17,13
595,2051-08-19,Phone,182.74,7
596,2051-08-20,Phone,107.49,3
597,2051-08-21,Phone,94.64,1
598,2051-08-22,Camera,157.64,6
599,2051-08-23,Camera,78.63,8
600,2051-08-24,Phone,67.73,12
601,2051-08-25,Tablet,175.55,7
602,2051-08-26,Phone,161.62,3
603,2051-08-27,Camera,138.58,14
604,2051-08-28,Phone,86.43,6
605,2051-08-29,Camera,143.49,6
606,2051-08-30,Camera,145.75,2
607,2051-08-31,Camera,99.14,5
608,2051-09-01,Phone,60.12,1
609,2051-09-02,Tablet,182.08,4
610,2051-09-03,Tablet,118.99,4
611,2051-09-04,Camera,164.58,6
612,2051-09-05,Phone,88.08,4
613,2051-09-06,Tablet,138.71,5
614,2051-09-07,Phone,114.32,4
615,2051-09-08,Phone,107.32,1
616,2051-09-09,Camera,69.01,4
617,2051-09-10,Camera,86.64,9
618,2051-09-11,Camera,61.9,10
619,2051-09-12,Phone,95.43,1
620,2051-09-13,Phone,161.26,8
621,2051-09-14,Camera,142.25,7
622,2051-09-15,Phone,150.86,6
623,2051-09-16,Phone,51.26,1
624,2051-09-17,Camera,151.76,2
625,2051-09-18,Phone,125.48,5
626,2051-09-19,Tablet,84.64,7
627,2051-09-20,Tablet,76.23,8
628,2051-09-21,Tablet,77.75,6
629,2051-09-22,Camera,176.64,6
630,2051-09-23,Tablet,197.39,7
631,2051-09-24,Phone,187.06,12
632,2051-09-25,Tablet,102.11,6
633,2051-09-26,Tablet,167.03,13
634,2051-09-27,Camera,131.97,5
635,2051-09-28,Phone,172.47,5
636,2051-09-29,Tablet,122.56,1
637,2051-09-30,Phone,138.49,9
638,2051-10-01,Tablet,168.09,2
639,2051-10-02,Phone,65.04,14
640,2051-10-03,Tablet,130.55,14
641,2051-10-04,Camera,104.9,4
642,2051-10-05,Tablet,140.65,11
643,2051-10-06,Tablet,193.82,4
644,2051-10-07,Camera,108.92,1
645,2051-10-08,Phone,108.95,1
646,2051-10-09,Phone,168.6,1
647,2051-10-10,Phone,146.76,5
648,2051-10-11,Camera,109.08,7
649,2051-10-12,Tablet,153.34,7
650,2051-10-13,Tablet,110.6,12
651,2051-10-14,Phone,70.42,12
652,2051-10-15,Phone,117.6,11
653,2051-10-16,Camera,100.16,4
654,2051-10-17,Camera,82.7,5
655,2051-10-18,Tablet,188.87,10
656,2051-10-19,Tablet,153.45,7
657,2051-10-20,Tablet,139.82,8
658,2051-10-21,Camera,162.0,9
659,2051-10-22,Tablet,131.3,8
660,2051-10-23,Camera,155.08,4
661,2051-10-24,Tablet,189.58,4
662,2051-10-25,Phone,179.39,2
663,2051-10-26,Camera,75.12,14
664,2051-10-27,Phone,89.47,3
665,2051-10-28,Phone,60.74,3
666,2051-10-29,Tablet,196.8,4
667,2051-10-30,Camera,85.46,6
668,2051-10-31,Camera,149.09,8
669,2051-11-01,Phone,63.44,1
670,2051-11-02,Phone,81.62,2
671,2051-11-03,Tablet,125.42,6
672,2051-11-04,Camera,65.74,6
673,2051-11-05,Phone,108.33,8
674,2051-11-06,Tablet,130.7,13
675,2051-11-07,Camera,100.88,10
676,2051-11-08,Phone,133.39,13
677,2051-11-09,Camera,130.52,3
678,2051-11-10,Tablet,108.59,8
679,2051-11-11,Tablet,154.44,9
680,2051-11-12,Camera,151.77,7
681,2051-11-13,Camera,153.1,11
682,2051-11-14,Camera,134.22,14
683,2051-11-15,Camera,103.71,12
684,2051-11-16,Camera,141.97,4
685,2051-11-17,Tablet,190.36,12
686,2051-11-18,Phone,139.53,3
687,2051-11-19,Camera,196.94,6
688,2051-11-20,Phone,116.15,10
689,2051-11-21,Tablet,160.94,11
690,2051-11-22,Camera,55.64,3
691,2051-11-23,Camera,164.71,7
692,2051-11-24,Phone,127.74,6
693,2051-11-25,Camera,50.8,14
694,2051-11-26,Camera,91.58,14
695,2051-11-27,Phone,130.22,14
696,2051-11-28,Phone,165.19,5
697,2051-11-29,Tablet,57.96,7
698,2051-11-30,Phone,132.36,12
699,2051-12-01,Phone,170.15,10
700,2051-12-02,Tablet,147.44,7
701,2051-12-03,Phone,189.72,12
702,2051-12-04,Tablet,61.21,14
703,2051-12-05,Camera,91.52,1
704,2051-12-06,Camera,187.89,10
705,2051-12-07,Tablet,164.75,14
706,2051-12-08,Camera,139.96,4
707,2051-12-09,Phone,174.95,2
708,2051-12-10,Tablet,184.41,9
709,2051-12-11,Tablet,195.91,1
710,2051-12-12,Tablet,199.78,14
711,2051-12-13,Tablet,70.95,5
712,2051-12-14,Camera,60.58,8
713,2051-12-15,Tablet,61.02,12
714,2051-12-16,Tablet,52.21,3
715,2051-12-17,Camera,195.77,4
716,2051-12-18,Tablet,64.22,1
717,2051-12-19,Camera,176.26,1
718,2051-12-20,Camera,152.78,13
719,2051-12-21,Phone,123.13,10
720,2051-12-22,Phone,102.0,10
721,2051-12-23,Tablet,103.05,1
